;Titile;Genre;Realease Date;Description;Cover Photo Url
10;Minecraft;Adventure;18 November 2011;A sandbox game that defies classification, developed by the independent Mojang AB studio. Minecraft has been developed with the intention of unleashing the creativity of players, who can freely change the game's virtual world made from voxels (cubic blocks). The gameplay concentrates on terrain transformations, building structures, crafting items, and creating your own adventures. The game consists of two modes: a classic one, which allows for unending experience, and survival, in which we have to prepare to fend off monster assaults at night. In addition to single player, Minecraft also offers online multiplayer. The game from Mojang AB is distinguished by its unique retro visuals.;
;https://cdn.gracza.pl/i/h/10/62523265.jpg;;;;
12;Batman: Arkham Knight;Action;23 June 2015;The fourth installment in the action game series, featuring the titular comic book superhero. The game was developed by Rocksteady, the studio which had previously worked on Batman: Arkham Asylum and Batman: Arkham City. The plot depicts the next chapter of Batmans adventures. This time, the hero must face Scarecrow, who successfully terrorized Gotham City. A coalition has also formed against the Dark Knight, composed of extremely dangerous criminals such as Penguin or Harley Quinn, and led by the eponymous Arkham Knight. The developers have remained faithful to previously proven solutions and gameplay mechanics. However, several changes have also been implemented, such as the ability to knock out several enemies at once. A brand new feature is the introduction of the famous Batmobile, which can be used to traverse the virtual Gotham.;https://cdn.gracza.pl/i/h/10/501527473.jpg
13;Farming Simulator 17;Simulation;25 October 2016;Farming Simulator 17 is another installment in the series of simulators of farm. This time, the game was published by Focus Home Interactive, but the development was still carried out by GIANTS Software, known from the previous parts of this series. The mechanics remain unchanged - the players become farmers, who need to take good care of their establishment. During the game, much attention has to be paid to the economic side of the management - the right equipment needs to be purchased, used for sawing, gathering crops, and moving the goods around. Traditionally, the player can control many different machines, all with official licenses from real manufacturers, and personally take care of various tasks in the field. The new installment obviously introduces some changes and novelties. Contrary to previous games, Farming Simulator 17 was released on PC, XONE and PS4 simultaneously.;https://cdn.gracza.pl/i/h/10/439555671.jpg
14;Brawl Stars;Action;12 December 2018;A mobile online game which combines elements of shooters and MOBA games. Brawl Stars has been developed by the creators of Clash of Clans, Hay Day, Boom Beach and Clash Royale. The game features only a multiplayer mode. The players get to select one of more then a dozen available characters, each featuring different weapons, assets, and a special ability, after which they enter arcade battles taking place in special arenas. As the player's character is developed, their battle potential increases. Brawl Stars offers several game modes, each introducing a different set of rules. In Smash & Grab, two 3-player teams fight each other with the objective of capturing the crystals that are growing in the center of the map. In Heist, two teams face each other and, in turns, defend a safe or try to rob it. The third mode  Battle Royale  allows up to 10 players to fight until there is only one character left alive. The last of the game modes is Bounty, in which one acquires stars for eliminating their foes and loses them each time their character dies.;https://cdn.gracza.pl/i/h/10/414928593.jpg
15;Metro Exodus;Action;15 February 2019;Metro Exodus is the third installment of the popular FPS series based on the books by Dmitry Glukhovsky and developed by 4A Games. Once again we play as Artyom who ventures through what remains of Russia after a nuclear war that took place twenty years before the action of the game. Metro Exodus is kind of an evolution of what we saw in the series' previous installments. As usual, we explore the game's rich world (this time, along with the tunnels, also the worlds surface), fight with the encountered enemies, and try to be as stealthy as possible. Stealth plays an important role in the game because we will encounter not only well-armed human survivors, but also mutants. Defeating a smaller one may not be that hard, but the more powerful mutants can be rather difficult to kill. As usual, the latest installment of the Metro series features visuals of the highest quality.;https://cdn.gracza.pl/i/h/10/350974699.jpg
16;Diablo III;RPG;15 May 2012;The third installment in a highly popular action-RPG franchise, created and developed by Blizzard Entertainment. Diablo III takes players back to the world of Sanctuary, where they have to stand up to forces of evil. The story is set 10 years after the events of the second game. Tristram cathedral gets hit by a mysterious comet, whose impact awakens the armies of Hell. Diablo III features new character classes and a modified character progression system. Blizzard aimed for a further increase of combat dynamics, implementation of extensive social features, as well as atmospheric audiovisuals.;https://cdn.gracza.pl/i/h/10/1710205375.jpg
17;Forza Horizon 4;Racing;02 October 2018;The fourth installment in the best-selling open-world racing game series developed by Playground Games. The game takes the players to the UK, where they can compete in various races while driving over 450 different cars. The biggest novelty introduced in Forza Horizon 4 are the dynamic seasons of the year.;https://cdn.gracza.pl/i/h/10/351046625.jpg
18;Grand Theft Auto: San Andreas;Action;25 October 2004;The seventh installment in the controversial Grand Theft Auto series  one of the most popular game franchises in history that brought Rockstar Games company international fame. The series has been letting the player start as a petty criminal and work his way to the top of the criminal underground. This next part of the series is the biggest one so far, featuring world  the State of San Andreas  almost three times larger than Vice City. Among many innovations, there are several thing worthy of mention: improved AI of civilians, option to recruit gang members, increased number of interactive buildings, hunger factor, swimming, and new means of transportation (e.g. bicycles). On top of that, there game features numerous extra activities, highlighting the sandbox character of gameplay. The game features the atmosphere of the 1990s, apparent in both the graphics and the soundtrack available via the numerous in-game radio stations.;https://cdn.gracza.pl/i/h/10/332216937.jpg
19;Dying Light;Action;27 January 2015;An first-person perspective survival horror game, created by the Polish developer Techland, known for Dead Island and the Call of Juarez series, among others. The player assumes the role of a character who is trying to survive in a zombie-infested metropolis. The sandbox gameplay of Dying Light is divided into two phases. During the day, the game puts main focus on exploration and acquisition of raw materials and weapons, while at night players must face hordes of the living dead. The creators wanted to put the accent on two gameplay elements: thrilling combat with a variety of weapons (including crafted ones), and dynamic movement throughout the city, enabling the players to overcome terrain obstacles using parkour. In addition to a single-player campaign, Dying Light also offers a four-person cooperation mode via the Internet.;https://cdn.gracza.pl/i/h/10/408094309.jpg
20;Shadow of the Tomb Raider;Action;14 September 2018;Another entry in the bestselling series of action-adventure games. It is also the third entry in the saga about the beginnings of Lara Crofts career that started in 2013. In Shadow of the Tomb Raider the female protagonist journeys to Latin America, where she discovers mysteries hidden within ruins and solves the mystery related to the Order of Trinity and the research conducted by her father.;https://cdn.gracza.pl/i/h/10/19597438.jpg
21;Elex;RPG;17 October 2017;A third person action-RPG developed by the creators of the legendary Gothic series - German studio Piranha Bytes. In contrast to the aforementioned Gothic, Elex is set in a dark post-apocalyptic universe that combines elements of both science-fiction and fantasy and where technology meets magic. In terms of mechanics, the game is similar to other modern action-RPGs. You get to explore a large open world, embark on a series of storyline missions as well as side quests, encountering numerous non-player characters along the way and, of course, slaying a wide array of monsters. Similarly to previous Piranha Bytes productions, the title features only single player gameplay with no online features.;https://cdn.gracza.pl/i/h/10/491208272.jpg
22;Need for Speed: Most Wanted (2005);Racing;15 November 2005;The ninth installment in a legendary racing game franchise created by Electronic Arts company. After two Underground games, featuring illegal night street races, the franchise went back to its roots, combining ideas from the two most recent titles with classic elements. The players goal is to climb to the top of a black list of the most wanted drivers. Again you get to explore a huge virtual city, taking on different racing challenges. These include circuit, sprint, drag, elimination, time trial, speed challenge, and police pursuit. After completing enough of these you can challenge subsequent drivers from the black list. Apart from elements typical for the series, such as licensed cars and diverse soundtrack, the game features complex car customization, both in terms of appearance and performance.;https://cdn.gracza.pl/i/h/10/2123968.jpg
23;Days Gone;Action;26 April 2019;A post-apocalyptic third-person perspective action game developed by Bend Studio, the creators of the spin-off to the Uncharted series released on PS Vita. Days Gone takes place in America, two years after a global virus outbreak which transformed millions of people into zombie-like monsters called freakers. During the game the player assumes the role of a former member of a motorcycle club who is trying to come to terms with the fact that he lost the love of his life. He travels through the northwestern coast of USA looking for contracts as a bounty hunter. The gameplay mechanics are focused on exploring open world, gathering resources and items which then can be used for crafting useful weapons and tools. During the game there are many occasions for combat  both with humans and with various types of virus victims. The latter can attack in large groups, forcing the player to frequently hide and flee since a direct confrontation cannot be won.;https://cdn.gracza.pl/i/h/10/4526228.jpg
24;Hearts of Iron IV;Strategy;06 June 2016;The fourth major installment in a series of larg-scale strategy games, which originated in 2002 as a spin-off to the popular Europa Universalis series. Both franchises are consistently developed by Paradox Interactive. The game lets you take the lead of a country from the World War II period and beyond, specifically the years 1936-1948. Your responsibilities involve taking care of international relations and building alliances, but also developing the army, choosing the right strategy, and conducting the military operations. As it was in the previous editions of the series, the game combines faithfully recreated historical events (including authentic leaders, as well as military forces and technologies used by particular countries, along with the possibility of putting the history on a different course. As compared with the previous games, micromanagement was slightly reduced, and the focus shifted to larg-scale strategy. Other additions include the day and night cycle and changing seasons, as well as an option of grouping provinces into regions to facilitate management.;https://cdn.gracza.pl/i/h/10/420788766.jpg
25;Grand Theft Auto IV;Action;29 April 2008;The fourth installment in a best-selling action game franchise. The title was developed by Rockstar North Studios under the supervision of Chris Sawyer. The protagonist of Grand Theft Auto IV is Niko Bellic, an immigrant from Eastern Europe who recently came to America, where he starts a career in the criminal underground. The sandbox gameplay model gives the player much freedom in exploration of Liberty City, a virtual metropolis, where you can move around using various vehicles (cars, motorbikes, and helicopters, among others). How the story unfolds depends on the players choices regarding order in which the missions are completed. Apart from single player gameplay, Grand Theft Auto IV offers online or LAN multiplayer for up to 32 people.;https://cdn.gracza.pl/i/h/10/681382796.jpg
26;Fallout: New Vegas;RPG;19 October 2010;Fallout: New Vegas is a spin-off to the famous post-apocalyptic cRPG series. The game was developed by Obsidian Entertainment, studio founded by ex-employees of Black Isle Studios (the creators of Fallout and Fallout 2). The story in Fallout: New Vegas focuses on a conflict between two factions: New California Republic and Caesars Legion, with the mysterious Mr. House and the citizens of New Vegas in the middle. The player takes on the role of a courier that saved from imminent death by a friendly robot named Victor. In terms of gameplay mechanics, the game copies the solutions from Fallout 3. Depending on your preferences, you can play either in first or third person perspective. Moreover, a well-proven combat system called V.A.T.S. comes back, letting you pause the game and select a part of enemy body you want to aim at. The visuals are powered by a modified version of Gamebryo Engine, previously used e.g. in The Elder Scrolls IV: Oblivion.;https://cdn.gracza.pl/i/h/10/349864457.jpg
27;Assassin's Creed Origins;Action;27 October 2017;The seventh major installment in the Ubisoft's best-selling action game series. Plotwise, Assassin's Creed: Empire is a sort of prequel to the entire series, taking players so far back in time as none other installment did - to the ancient Egypt, long before the two opposing orders of Assassins and Templars were founded. Players play the part of a slave, a distant ancestor to Altair - the protagonist of the first Assassin's Creed. Concerning mechanics, the title does not differ significantly from previous installments of the series, still being primarily an adventure game, supplemented with action sequences and carefully planned assassinations. The game world was, of course, with reverence typical of the franchise, adapted to the new setting, bringing back things like the possibility to mount animals or use boats. On the technical side, Empire is said to avoid relying on the achievements of previous installments, while our area of activity is approximately three times larger than what was offered by Assassin's Creed IV.;https://cdn.gracza.pl/i/h/10/351050953.jpg
28;The Witcher 3: Blood and Wine;RPG;31 May 2016;The second expansion to action-RPG The Witcher 3: Wild Hunt created by CD Projekt RED. This time we accompany Geralt during his stay in Touissant  one of few countries in The Witchers universe still untouched by war. However, under the veil of carefree idyll the city hides a dark, bloody secret. Investigating the mystery is another task for the White Wolf. Just like in the first expansion, new content does not end with new missions. The add-on also features new items, characters, and monsters. According to the developers estimate, Blood and Wine offers over 20 hours of gameplay.;https://cdn.gracza.pl/i/h/10/342214494.jpg
29;Grand Theft Auto: Vice City;Action;27 October 2002;A new installment in the bestselling series of action games. The game expands the ideas introduced in the third entry in the franchise, released in 2001. The game was developed by the authors of the previous installments who, after having been bought by the American giant, were transformed into Rockstar North. The game takes place in the 80's in a completely new metropolis called Vice City. The player becomes Tommy Vercetti, who was sent by his boss to establish a foothold in the city while taking care of the local gangs and corrupted police. The game has similar mechanics to its predecessor and focuses mostly on completing various non-linear story missions. Grand Theft Auto: Vice City added some new features, such as the possibility to use motorcycles and helicopters. The graphics, inspired by aesthetics of the 80's, were greatly improved as well. During the game, the player is accompanied by a varied soundtrack broadcast by several different radio stations.;https://cdn.gracza.pl/i/h/10/953350015.jpg
30;The Last of Us;Action;14 June 2013;An action adventure game in a post-apocalyptic survival horror setting, created by the Naughty Dog developer studio (known mainly from the Uncharted series) and published by Sony Computer Entertainment. The story of Last of Us takes place in the nearby future  20 years after a mysterious plague decimated the humanity and led to the fall of civilization. Two people  smuggler Joel (controlled by player) and a teenage orphan, Ellie, try to survive in a world filled with dangers. The gameplay revolves around exploring locations and fighting enemies using guns and environment (stones, table legs etc.). In addition to the single player campaign, the game offers fully functional online multiplayer with three different game modes: Supply Raid, Survivors, and Interrogation.;https://cdn.gracza.pl/i/h/10/1644053218.jpg
31;S.T.A.L.K.E.R.: Shadow of Chernobyl;Action;20 March 2007;A post-apocalyptic action game inspired by the science-fiction books by the Strugatsky brothers. It was developed by Ukrainian studio GSC Game World, known for Codename: Outbreak as well as Cossacks and the American Conquest game series. As a result of blowing up of the sarcophagus protecting the damaged nuclear reactor in Chernobyl, radioactive dust covered a vast portion of the surrounding areas. This led not only to the death of a large part of plants and animals living there, but also the emergence of hideous mutations and a variety of deadly anomalies. The player takes on the role of one of the stalkers, a group of men who venture into the contaminated zone years after the catastrophe, in search of valuable items, plants, and artifacts. The game combines elements of tactical first-person shooters, adventure games, and RPGs. Players are given a vast terrain completely open for exploration, a wide arsenal of customizable weapons, and a full spectrum of unique enemies with different abilities. The games non-linear story offers 7 alternative endings.;https://cdn.gracza.pl/i/h/10/462399437.jpg
32;SOMA;Adventure;22 September 2015;A science fiction horror adventure game created by Frictional Games, Swedish studio known for such titles as Amnesia: The Dark Descent and the Penumbra series. The game is set in a top-secret research center PATHOS-2, where a series of failed experiments resulted in human-like machines killing off most of the staff and taking over the facility. You play as one of the survivors, who has to safely evade the hostile, machine infested environment. Gameplay is presented in first-person perspective and focuses on exploration of the facility and avoiding direct contact with the enemies. Just as in the other works from this developer, instead of dynamic action sequences, the game emphasizes the thick, dark atmosphere and a persistent feeling of vulnerability.;https://cdn.gracza.pl/i/h/10/591895748.jpg
33;Far Cry 5;Action;27 March 2018;Far Cry 5 is the fifth installment of the first-person action game series from Ubisoft. Unlike the previous installments of the series that took place in various exotic locations, Far Cry 5 takes the players to Montana, one of the least populated states of the USA. We play as a police officer (we can choose our character's gender and customize his/her looks) whose job is to infiltrate and destroy a crime organization that works under the cover of a fanatical cult led by the charismatic Joseph Seed who believes in a ruthless and sadistic way of dealing with enemies. In terms of gameplay, Far Cry 5 offers the biggest open world in the history of the series. Thus, vehicles play an important role here. It is filled with various side and main quests and other additional activities. The game offers a wide range of weapons for us to use and a rather complex crafting system. We also will be able to tame wild animals to make them fight on our side.;https://cdn.gracza.pl/i/h/10/241668278.jpg
34;Sekiro: Shadows Die Twice;Action;22 March 2019;An action-adventure game developed by From Software studio, which takes us the alternate reality of 15th-century Japan. Sekiro: Shadows Die Twice focuses on an exploration of complex levels, sneaking and fights that resemble the Dark Souls series. Other features of the game are the grim atmosphere and a high difficulty level.;https://cdn.gracza.pl/i/h/10/362575671.jpg
35;Apex Legends;Action;04 February 2019;A free-to-play online FPP battle royale shooter, set in the futuristic universe of the Titanfall series. Respawn Entertainment studio developed the game, and the publisher is Electronic Arts.;https://cdn.gracza.pl/i/h/10/597098609.jpg
36;Darkest Dungeon;RPG;19 January 2016;A dark fantasy cRPG developed by debuting studio Red Hook. The story is set in a dark, medieval-like universe. While exploring ruins of an old castle and its dungeons, you face off against forces of darkness that overwhelmed the land because of the reckless actions of its previous sovereign. As you delve into the depths, you discover the dark history of a family who brought the evil upon the world. The gameplay focuses on dungeon crawling - dungeons filled with traps and crawling with monsters that need to be dealt with during turn-based combat sequences. An original idea is the sanity indicator of your heroes. Each team member has different personality and reacts differently to what is happening around him/her. Therefore, while playing you should keep an eye on their well being and fear levels, alleviating their stress by drinking alcohol or brawling, if needed.;https://cdn.gracza.pl/i/h/10/351730509.jpg
37;Spyro Reignited Trilogy;Arcade;13 November 2018;A collection of three three-dimensional platform games that were originally released on the first PlayStation. The protagonist is a small, purple dragon named Spyro. The collection features the following games: Spyro the Dragon, Spyro 2: Riptos Rage! and Spyro: Year of the Dragon. The games feature almost the same gameplay as the originals, but their graphics were greatly refreshed.;https://cdn.gracza.pl/i/h/10/450080859.jpg
38;Destiny 2;Action;06 September 2017;Destiny 2 is a sequel to the best-selling FPS developed by Bungie Software. This time, Bungie is aided in the development process by Vicarious Visions, creators of Skylanders and some other games. Destiny 2 introduces many new changes and improvements, not only concerning the story (this time, the story will play a bigger part than in the first game), but also in the gameplay mechanics. In Destiny 2, we will visit completely new, enormous locations (i.e. Saturn alone will be bigger than the entire first game), finding new, vibrant metropolises. In the wilderness, we will find both enemies and enemy checkpoints that are just waiting to be taken over by us. Planets known from the first Destiny will also be present in the sequel, but will be added on a later date. Due to the new technology used by Destiny 2, it won't be possible to import our characters from the original game. Transferring any sort of content from the first Destiny will probably turn out to be problematic.;https://cdn.gracza.pl/i/h/10/504516921.jpg
39;Resident Evil 2;Action;25 January 2019;A remake of the second part of the famous survival-horror franchise Resident Evil, which debuted on the PlayStation console in 1998 and was later ported to other consoles and PC / Windows. Resident Evil 2 Remake was developed by the Capcoms leading team, R&D Division 1, for the latest gaming platforms. The game is based on the original plot with slightly modified mechanics. The action takes place a few months after the events of the games first part, when after a moment of calmness, a deadly zombie epidemic once again plagues Raccoon City. The player follows the story of a rookie police officer Leon S. Kennedy and a young girl  Claire Redfield  who arrived in the city in search of her brother. Early into the story, the two protagonists are separated and from there on the action is seen from two different points of view, and the characters stories develop slightly differently.;https://cdn.gracza.pl/i/h/10/449961390.jpg
40;Control;Action;27 August 2019;Control, developed for PlayStation 4 is a science-fiction third-person shooter, in which the players have to face the invasion from out of this world using a number of special abilities and a telekinetic pistol that apart from shooting bullets allows the players to throw objects and opponents.;https://cdn.gracza.pl/i/h/10/441996062.jpg
41;Call of Duty: WWII;Action;03 November 2017;"Call of Duty: WWII is another installment in the extremely popular first-person shooter series developed by Sledgehammer Games. The game comes back to its roots and takes the players to the World War II era. We play as ""Red"" Daniels (member of the famous 1st Infantry Division) and take part in a series of the most important battles of WWII, including Normandy, Ardennes, the Liberation of Paris, and the Battle of Berlin. We will use all kinds of weapons as we play. In many cases, cooperation with our unit is the only way to achieve victory. if we run out of ammo or need healing, we have to ask one of our team mates for bullets or medical kits. Along with the single player campaign, Call of Duty: WWII offers a competitive multiplayer mode. The biggest novelties found in the game are the narrative War mode and the Headquarters, game's social center so to speak. As usual, the game comes with a B-class movies styled Zombie mode where we will face undead Nazis.";https://cdn.gracza.pl/i/h/10/422704271.jpg
42;Graveyard Keeper;RPG;15 August 2018;A sandbox RPG with strategy game features. The title was developed by Lazy Bear Games. Graveyard Keeper presents an unusual topic  it enables the player to assume the role of the titular keeper of a graveyard located in a typical fantasy realm filled with monsters and magic. The gameplay is focused on running the graveyard business, and during the game the player must take care of activities like moving bodies, digging graves and organizing funerals. At the same time the player must constantly make business-related decisions and invest in expansion and improvement of the graveyard. Since burying the dead isnt very profitable, the player can also use alternative methods of earning  go into dungeons, participate in witch burning festivals or cooperate with the local church. The title is filled with black humor and parodies the most typical fantasy genre tropes.;https://cdn.gracza.pl/i/h/10/7894843.jpg
43;World of Tanks;Simulation;12 August 2010;A hugely popular MMO game developed and managed by Belarus team of Wargaming.net studio. World of Tanks focuses on thrilling battles against live players controlling tanks.;https://cdn.gracza.pl/i/h/10/515321015.jpg
44;Detroit: Become Human;Adventure;25 May 2018;An action-adventure game set in a science-fiction world, created by developers from the French studio Quantic Dreams  creators of such games as Fahrenheit, Beyond: Two Souls and the bestselling Heavy Rain. Detroit: Become Human expands on ideas present in the 2012 years demo Kara, which depicted a female android developing human emotions. The game takes place in the futuristic version of Detroit, where humanoid robots are a common sight. But the main protagonist  the android Kara  is special, as she is the only one possessing real human feelings. Those emotions are what drives her to learn more about herself and other robots, and if its possible  to shape her own future. With the help of players, of course.;https://cdn.gracza.pl/i/h/10/498125903.jpg
45;Crusader Kings II;Strategy;14 February 2012;A sequel to the expansive strategy game Crusader Kings, which came to existence in 2004 as a medieval-themed spin-off to the popular Europa Universalis franchise that has been developed for over a decade by Paradox Studios. The game is set in the 11th century, and you play as a prominent Christian noble, who aims to secure a successful future for his house. Throughout the gameplay you have to oversee a a number of areas essential to the development of your kingdom: social and feudal issues, military, diplomacy, and religion. The most noticeable modification, as compared with the previous game, is the developed psychological aspect, giving more weight to social relations and individual motivations of your subjects. Other changes include the introduction of barons who manage provinces, royal spies, increased importance of women, and far-reaching relations with the Church.;https://cdn.gracza.pl/i/h/10/417380737.jpg
46;Rise of the Tomb Raider;Action;10 November 2015;Another installment in the popular series of action adventure games, once again developed by Crystal Dynamics, the studio that brought us the successful reboot of the franchise. In terms of plot, the game continues the story arcs started in the previous part. Again we accompany the young, although tougher and more ruthless, Lara Croft. Unlike in the previous game, this time we visit different parts of the world, exploring larger and more open places. As for the mechanics, the production combines the survival aspects of its predecessor with the exploration of the many tombs and catacombs, which is the hallmark of the series. The gameplay is therefore full of numerous stealth elements as well as purely arcade sequences, including open exchanges of fire. Lara also uses a number of brand new weapons and gadgets. Designed for eighth-generation console, the production features high-quality graphics, which represents an important rise in quality as compared to the previous parts of the series.;https://cdn.gracza.pl/i/h/10/586030407.jpg
47;Dark Souls III;RPG;24 March 2016;Another installment in the series of dark action RPGs, initiated and developed by Japanese studio From Software. The title is set in the same fantasy universe, in terms of content however, it offers a completely new story in which we visit 12 previously inaccessible locations. At the same time, the game features a more extensive plot, and the gameplay itself is accompanied by over an hour of cutscenes. The production includes as many as 12 character classes, 45 new enemies, 15 challenging bosses, 100 weapons, 40 pieces of armor and nearly 200 other items. One of the most important new features is the possibility of sacrificing the bodies of defeated enemies, which allows us to summon certain characters or haunt another players game. New sword fighting techniques were also introduced, and we learn them gradually as we progress in the game. Both the atmosphere characteristic of the series, and the high level of difficulty have been preserved in the sequel.;https://cdn.gracza.pl/i/h/10/517153064.jpg
48;The Forest;Action;30 April 2018;A first-person perspective (FPP) sandbox survival horror game. The Forest is the work of an independent studio SKS Games, known mainly for the smartphone hit, End Night. The player assumes the role of a sole survivor of a plane crash. The hero ends up on an isolated island far away from civilization, inhabited by a tribe of cannibalistic mutants. The gameplay focuses on the exploration of land (forest, caves, etc.), survival skills (building a shelter, searching for food, setting traps, etc.), and fighting or avoiding confrontation with opponents. The creators have made an effort to create a lively, fast-changing world, allowing for great freedom of action. As for the technical side, The Forest utilizes Unity 4 engine.;https://cdn.gracza.pl/i/h/10/524422804.jpg
49;FIFA 19;Sports;28 September 2018;Another part of the popular series of football simulators, in which we direct licensed and realistic teams and players from all over the world. FIFA 19 was created, like all previous parts, by EA Sports studio.;https://cdn.gracza.pl/i/h/10/514880093.jpg
50;The Beast Inside;Adventure;17 October 2019;A Polish survival horror game that tells the story of Adam, a CIA analytic. After arriving at a new home he finds the diary of a man named Nicolas. The nightmares described in the diary are invading reality, forcing the protagonist to fight for his life.;https://cdn.gracza.pl/i/h/10/441511109.jpg
