;Titile;Genre;Realease Date;Description;Title Of Video;YoTube URL;CoverPhotoTitle;Cover Photo Url ;ScreenShot1 Title;ScreenShot1 URL;ScreenShot2 Title;ScreenShot2 URL
437;Age of Civilizations II;Strategy;21 November 2018;The second part of the series of turn-based strategy games, developed by the Polish developer Lukasz Jakowski. In Age of Civilizations II, the players take control of one of the eponymous civilizations and lead it to world domination.;Let's Try Age of Civilizations II -- Part 1;https://www.youtube.com/watch?v=kMbOrJCaGJI;Age of Civilizations II.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Civilizations II.jpg;age_of_civilizations_ii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_civilizations_ii_screenshot\1.jpg;age_of_civilizations_ii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_civilizations_ii_screenshot\2.jpg
645;Age of Empires;Strategy;30 June 1997;A real time strategy developed by Ensemble Studios. The players take control of one of twelve ancient civilizations, including, among others, Babylon, Egypt, Greece, or Korea, with the task to lead them through four advancement stages spanning across 10 thousand years. The gameplay focuses on building our own settlement (based on four architectonic styles: Asian, Egyptian, Middle Eastern, and Greek), acquiring necessary resources (wood, food, stone, gold), researching new technologies, and recruiting military units. Aside from four story campaigns, Age of Empires includes special scenarios, a skirmish mode with AI-controlled opponents, and a multiplayer mode for up to eight players. The game is characterized by its hand-drawn, 2D graphics.;Age of Empires 4 - Official Gameplay Trailer | X019;https://www.youtube.com/watch?v=QFlVNtGJVDU;Age of Empires.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires.jpg;age_of_empires_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_screenshot\1.jpg;age_of_empires_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_screenshot\2.jpg
518;Age of Empires II: HD Edition;Strategy;09 April 2013;A remastered version of Age of Empire II: The Age of the Kings, a popular real-time strategy game and its expansion - Age of Empires II: The Conqueror. The new edition was developed by Hidden Path Entertainment in cooperation with Microsoft Game Studios. Compared to the 1999s original, the changes introduced in Age of Empires II: HD Edition involve mainly improved graphics, which were adjusted to HD standard. The developers remained faithful to the classic gameplay mechanics  the players assume the role of a leader of one of 18 historical nations and control their progress through subsequent centuries. Victory can be achieved in various ways, including military conquest, diplomacy, and economic expansion.;Age of Empires II: HD Edition Gameplay PC HD;https://www.youtube.com/watch?v=-fCkKryCvrA;Age of Empires II  HD Edition.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires II  HD Edition.jpg;age_of_empires_ii__hd_edition_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__hd_edition_screenshot\1.jpg;age_of_empires_ii__hd_edition_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__hd_edition_screenshot\2.jpg
945;Age of Empires II: The Age of the Kings;Strategy;28 September 1999;The second installment belonging to an incredibly popular series of real-time strategy games. Age of Empires II: The Age of the Kings was developed by Ensemble Studios. The player assumes command of a civilization chosen (13 in total here) and leads them through subsequent stages of development. For example, one can play as Franks, Mongols, Celts or Vikings. Compared to the first installment, the visuals were improved (more detailed), as was the AI of the player's subordinates - as a result, additional orders can be given to them, such as to patrol the vicinity, to guard a designated spot, or to follow a specific target. Furthermore, an option to group units into various formations was introduced. Apart from that, the player can now trade and manipulate the prices of different resources. Age of Empires II: The Age of the Kings features both single player modes (such as a campaign devoted to a Scottish national hero William Wallace) and a multiplayer variant (PC version only).;Age of Empires II: The Age of Kings;https://www.youtube.com/watch?v=Si6QPKiNoDY;Age of Empires II  The Age of the Kings.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires II  The Age of the Kings.jpg;age_of_empires_ii__the_age_of_the_kings_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__the_age_of_the_kings_screenshot\1.jpg;age_of_empires_ii__the_age_of_the_kings_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__the_age_of_the_kings_screenshot\2.jpg
657;Age of Empires II: The Conquerors;Strategy;25 August 2000;An expansion for Age of Empires II: The Age of Kings, a real time strategy game developed by Ensemble Studios. The add-on introduces five new civilizations (Huns, The Maya, Aztecs, Koreans, and Spaniards), each having its own campaign based on historical events, starring numerous heroes known from history books, including Attila the Hun, El Cid, and Montezuma. The Conquerors adds a number of new battle units, including halberdiers, Korean turtle boats, or various Aztec and Mayan warriors. The new civilizations can research 26 new techs, such as caravans or herbalism, while some of the countries received unique upgrades, such as Chinese rocket artillery. Age of Empires II: The Conquerors also contains new maps for multiplayer mode, while skirmish mode received new types of games and the ability to issue orders to the AI-controlled allied countries.;AoE2HD Gameplay: The Most Intense Ending!;https://www.youtube.com/watch?v=ecal35qIDL4;Age of Empires II  The Conquerors.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires II  The Conquerors.jpg;age_of_empires_ii__the_conquerors_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__the_conquerors_screenshot\1.jpg;age_of_empires_ii__the_conquerors_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_ii__the_conquerors_screenshot\2.jpg
232;Age of Empires III;Strategy;18 October 2005;The third major installment in a cult RTS franchise created and developed under the watchful eye of the Microsoft company. Contrary to the previous editions, which were set in ancient and medieval times, this one lets you witness centuries-long conquest of America, spanning from 16th to 19th century. Because of its wider time frame and a setting much closer to modern times, the game lets you command both medieval units, as well as more recent technical advancements. The developers brought back the well-proven mechanics, with an addition of some new elements. Core gameplay is an extensive story campaign depicting a blend of facts and fictional events. In multiplayer you can command one of eight playable nations, each one having its own, unique features. Additionally the game can boast impressive 3D graphics created using the Havok physics engine.;Age of Empires 3 - Gameplay (HD);https://www.youtube.com/watch?v=e3Ki6rs7JCk;Age of Empires III.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires III.jpg;age_of_empires_iii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_iii_screenshot\1.jpg;age_of_empires_iii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_iii_screenshot\2.jpg
981;Age of Empires III: The Asian Dynasties;Strategy;23 October 2007;The second expansion to Age of Empires III, developed by Big Huge Games, the authors of the well-received Rise of Nations. This time, the players visit Far East, being given access to three new civilizations: India, China, and Japan. The single-player mode received a new campaign consisting of fifteen scenarios (five for each new nation). The new maps take place in the new geographical zone, while some of them were influenced by historic locations or events. The eastern civilizations can build a consulate, as well as wonders that enable them to enter a new era. Additionally, Age of Empires III: The Asian Dynasties also brings an updated multiplayer mode  the developers asked for the players input, which resulted in, for example, new useful keyboard shortcuts.;Let's Play Age of Empires III Asian Dynasties - Part 1: The Siege of Osaka - Walkthrough Gameplay;https://www.youtube.com/watch?v=uqVYa6dp_94;Age of Empires III  The Asian Dynasties.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires III  The Asian Dynasties.jpg;age_of_empires_iii__the_asian_dynasties_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_iii__the_asian_dynasties_screenshot\1.jpg;age_of_empires_iii__the_asian_dynasties_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires_iii__the_asian_dynasties_screenshot\2.jpg
650;Age of Empires: Definitive Edition;Strategy;20 February 2018;A refreshed version of Age of Empires, a real-time strategy game that debuted in 1997. Microsoft, the company responsible for the new version, focused not only on improving the graphics so that they now support 4K resolution, but on recording a new version of the symphonic soundtrack as well. The title contains the contents of the basic version of the original game and of the Rise of Rome expansion pack. The single player scenarios were expanded with new narrative features. In Age of Empires: Definitive Edition the player is leading civilizations from various regions of the world to war. The gameplay is focused on expanding the base, obtaining resources, recruiting army and participating in dynamic battles. A modernized interface makes controlling the battlefield easier. In addition to single player modes, the title offers multiplayer mode based on Xbox Live.;Age of Empires: Definitive Edition - Gameplay (PC/UHD);https://www.youtube.com/watch?v=WqWp3LKyRHY;Age of Empires  Definitive Edition.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Empires  Definitive Edition.jpg;age_of_empires__definitive_edition_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires__definitive_edition_screenshot\1.jpg;age_of_empires__definitive_edition_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_empires__definitive_edition_screenshot\2.jpg
461;Age of Wonders III;Strategy;31 March 2014;The fourth installment of the fantasy strategy game series created and expanded by Dutch studio Triumph Software. Age of Wonders III takes place in a fantasy world in which various races and factions are fighting for power. The story campaign of the game focuses on rivalry between two of the factions  the Commonwealth Empire and the Elven Court. Gameplay of Age of Wonders III mixes strategy and cRPG features. Players are managing their kingdom, exploring the map, discovering new locations, encountering NPCs and participating in battles. The game offers a few single- and multiplayer modes. In contrast to the previous installments of the series, Age of Wonders III features three-dimensional graphics.;18 Minutes of Age of Wonders III Gameplay;https://www.youtube.com/watch?v=5yYh_2a-zQg;Age of Wonders III.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Wonders III.jpg;age_of_wonders_iii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_wonders_iii_screenshot\1.jpg;age_of_wonders_iii_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_wonders_iii_screenshot\2.jpg
300;Age of Wonders: Planetfall;Strategy;06 August 2019;A spin-off of the Age of Wonders series that takes us to a science-fiction setting. We take control of a fallen empire and try to raise it from the dark ages of a galaxy to a better future. Age of Wonders: Planetfall lets us play by ourselves or in multiplayer mode.;Age of Wonders: Planetfall #1 - Pierwsze wrażenia;https://www.youtube.com/watch?v=lUnJYBTz780;Age of Wonders  Planetfall.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Age of Wonders  Planetfall.jpg;age_of_wonders__planetfall_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_wonders__planetfall_screenshot\1.jpg;age_of_wonders__planetfall_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\age_of_wonders__planetfall_screenshot\2.jpg
511;Agony;Adventure;29 May 2018;A survival horror game developed by the independent Madmind Studio. The player assumes the role of an unfortunate man who went to hell for unknown reasons. The task that we have to accomplish is not only to find a way out of the abyss but also to uncover the identity of the amnesiac protagonist. The gameplay of Agony is based on exploration of underground depths and solving logic puzzles. Since the hero does not have any combat abilities, we have to avoid confrontation with hellish beasts. The protagonist can take over minds of encountered souls and lesser demons, which comes in handy. The production is powered by Unreal Engine 4 which translates into high-quality graphics. The well-designed environment and horrifying demonic creatures made with attention to detail are especially noteworthy.;Agony Official Gameplay Trailer;https://www.youtube.com/watch?v=ry0DisvCrAU;Agony.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Agony.jpg;agony_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\agony_screenshot\1.jpg;agony_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\agony_screenshot\2.jpg
930;Airline Tycoon Evolution;Strategy;05 July 2002;A new edition of the classic economic strategy, in which we managed our own airlines. In addition to the new ten missions and sixteen reconverted, it was possible to build their own planes and use anti-terrorist protection.;Airline Tycoon ll Gameplay + Strategy + Tips ll Falcon Lines ll Episode 1;https://www.youtube.com/watch?v=-Ya8P17OWVQ;Airline Tycoon Evolution.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Airline Tycoon Evolution.jpg;airline_tycoon_evolution_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\airline_tycoon_evolution_screenshot\1.jpg;airline_tycoon_evolution_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\airline_tycoon_evolution_screenshot\2.jpg
345;Alan Wake;Adventure;14 May 2010;A psychological horror third-person action game inspired by the works of Stephen King. It was developed by Remedy Entertainment, the creators of the Max Payne series. The games protagonist is an author of widely-read novels who decides to go on vacation to the remote town of Bright Falls in hope of overcoming his writers block. After just a few days, Alans wife goes missing in unexplained circumstances and the writer sets out to find her. It quickly turns out that the picturesque town hides many secrets, similarly to the location of his latest novel. To save his beloved, Alan has to seek out fragments of his own work by exploring Bright Falls, talking to the people he encounters, and facing evil forces that lurk in the dark. In combat, not only firearms will come in handy but also a torchlight and other light sources which deter and weaken the ghosts. The dark atmosphere is intensified by an atmospheric soundtrack.;Alan Wake - Official Launch Trailer | HD;https://www.youtube.com/watch?v=sSB4QcQMm6E;Alan Wake.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Alan Wake.jpg;alan_wake_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alan_wake_screenshot\1.jpg;alan_wake_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alan_wake_screenshot\2.jpg
538;Alan Wake's American Nightmare;Action;22 February 2012;A third person-perspective horror by Remedy Entertainment and continuation of the adventures of the likeable writer Alan Wake. The title features a shorter story set in an open world inspired by the films of Quentin Tarantino. The action takes place two years after the events of the original title, in a small town in Arizona. The protagonist finds out that he is inside the world of Night Springs, the TV series he once wrote scripts for. Trapped in a nightmare, Alan Wake has to face his dark alter ego  a serial killer known as Mr. Scratch. The mechanics follow in the original titles footsteps and feature a characteristic combat system based on the use of a flashlight. The developers introduced a new, arcade game mode, Fight Till Dawn, in which you battle waves of opponents, and your score is displayed in a special online ranking.;Alan Wake's American Nightmare Gameplay (PC HD) [1080p60FPS];https://www.youtube.com/watch?v=osXwzNYxPMM;Alan Wake's American Nightmare.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Alan Wake's American Nightmare.jpg;alan_wake's_american_nightmare_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alan_wake's_american_nightmare_screenshot\1.jpg;alan_wake's_american_nightmare_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alan_wake's_american_nightmare_screenshot\2.jpg
482;Albion Online;RPG;17 July 2017;A free-to-play MMORPG set in a fantasy world and a debut project of the German developer Sandbox Interactive. The games universe is shaped entirely by players actions, who craft their own tools as well as build settlements and towns. The complex in-game economy system lets you e.g. rent production buildings or lease plots of land to other players. Apart from typical RPG story missions, an essential part of Albion Online are duels between players in PvP mode. The games world is split into 800 territories that can be conquered by players guilds, seeking valuable resources. Real-time combat uses mechanics typical of hack-and-slash games. While you are offline your territories are protected by a magic aura, so that battles can be fought only between online players. The game features a unique microtransaction system  a commission is drawn from transactions between players.;Albion Online - Everybody Matters Final Beta Trailer;https://www.youtube.com/watch?v=JbN6aqgGtuc;Albion Online.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Albion Online.jpg;albion_online_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\albion_online_screenshot\1.jpg;albion_online_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\albion_online_screenshot\2.jpg
904;Alice: Madness Returns;Action;14 June 2011;A third-person action game with elements of 3D platformer and adventure game, designed by American McGee and his Spice Horse studio. Similarly to the previous work of that developer, i.e. American McGees Alice, also this game is a reinterpretation of a novel by Lewis Carroll. After ten years of dealing with catatonic schizophrenia caused by the tragic death of her parents, the eponymous heroine has a chance of getting back to a normal life. However, a hypnosis session at a psychiatrist ends up with Alice returning to Wonderland, which has greatly degenerated since the protagonists last visit. In Alice: Madness Returns you explore a string of locations, jump over platforms, avoid numerous traps, solve various logic puzzles and fight opponents using unusual weapons  such as a kitchen knife or a deck of deadly cards. The adventures are presented in high-quality audiovisuals with a unique art style  locations known from the original story were recreated in a much darker, distorted version.;Alice: Madness Returns (Part 1) This game is AWESOME;https://www.youtube.com/watch?v=Zxk_2La1Ozs;Alice  Madness Returns.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Alice  Madness Returns.jpg;alice__madness_returns_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alice__madness_returns_screenshot\1.jpg;alice__madness_returns_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alice__madness_returns_screenshot\2.jpg
311;Alien: Isolation;Action;07 October 2014;An atmospheric FPP survival horror game set in the iconic universe of Alien. It has been created by Creative Assembly, known from their strategy game series, Total War. The game takes place after the events of first movie, and the developers adapted not only the movie's visual style, but also the it's characteristic atmosphere. We play as Amanda, daughter of Ellen Ripley, the main protagonist of the movie. She sets on a journey to find out what happened to her mother after the Nostromo incident. Gameplay focuses on exploration and searching for clues that will help us solve the mystery. However, the dangerous xenomorph keeps tracking us and, as our heroine stands no chance against this enemy, we have to avoid him at all cost.;Alien: Isolation 1080p Full HD Longplay Walkthrough Gameplay No Commentary;https://www.youtube.com/watch?v=1pvaw3tqgaw;Alien  Isolation.jpg;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\Photos\Alien  Isolation.jpg;alien__isolation_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alien__isolation_screenshot\1.jpg;alien__isolation_screenshot;C:\Users\Lenovo\Desktop\GamersHub\gamesFromCSV\images\alien__isolation_screenshot\2.jpg
